addr,amount,pubkey_compressed,pubkey_uncompressed,tx,pubkey_status
0x667be334ad43cbc2825b4b80c7615650c847ed5e,9,0x0371b9927213fe4e6cb03e3fa24ac7ce7187667534b4e420e1caaf18bd868285cc,0x0471b9927213fe4e6cb03e3fa24ac7ce7187667534b4e420e1caaf18bd868285ccfac074d9a703df0479ecbc93059628e71b612f1cc7b56f835496bbfa9bca1a77,0xfa1ff966b750a082c32af9bec14bcb428b3e5496b0f2767f28b417e82170cffe,ok
0x18611933289645be87f8d06620c66f45b763681f,7,0x03c37320fdabc7c5a650a29ee376d631f874929083ce8b4ffca54a675fbb175328,0x04c37320fdabc7c5a650a29ee376d631f874929083ce8b4ffca54a675fbb175328fe05f161d64065284fb394b568c45fe5aeb938fcfea1ad5896f959758773fc35,0x17c2862acbebd25be7f885a9ab4fedef43b0d92e9ce8bd03db663db2bcfc3815,ok
0x11bdea140cb111ed24110723a1577b03118936c6,6,0x038d1b21d089d37a5d994db3cad74d3ee23f4b7cb53a024bddc67da75ac6f14f22,0x048d1b21d089d37a5d994db3cad74d3ee23f4b7cb53a024bddc67da75ac6f14f2201a682bac57bb38ec3f25d8579fae1d814fbf5de6d86de9d756e1059d202455f,0x3b80ab85ebcd6ed3084f11254131d19729f4244de18b59560aa4e7afcab5bc0e,ok
0x2a76baa2f2cfb1b17ae672c995b3c41398e86ccd,5,0x031eeaecabab9b2db77ba6e3f95546d77b3c51343a440fda05c451df05ad3b6dcb,0x041eeaecabab9b2db77ba6e3f95546d77b3c51343a440fda05c451df05ad3b6dcbc4b053531313743685359c7e7716cb8a269aea1e649d14dc748114fb32629665,0x8571c88a97287a4817f6bb70ee79e80b46455f8dd2f23e82a0f3a336a642e036,ok
0x455c2f707acadd300ab4e6f8611838f9cdf6ad19,5,0x02466c4fb7649788898994ac4d0472e8d4107bf7723d5eaab68f104f475707ce8b,0x04466c4fb7649788898994ac4d0472e8d4107bf7723d5eaab68f104f475707ce8bde9b70068001c37ffc4ae421718f57ddef7a0ef216676ef472f6659797cb824a,0x16cdaaf302937acc9c4825bb2d50b3dd6cebe7844307b0449428a31a2711012b,ok
0xa169031ca94b82751d9b089d7b2255850424d4dc,5,0x024749097ba3ad08755a049b619d803679fc0b595812f87ebbdb8580cce1c2bc73,0x044749097ba3ad08755a049b619d803679fc0b595812f87ebbdb8580cce1c2bc7321b464d8808bbf30122bb844d724eefd0bcf5493b5d0023c35afc26761a22ac6,0x92f4b339d8213eafd6169b879cd6b0681a21a8e03dcc080d7915db9223ec8cd2,ok
0xaeb7ad5a15f01cf3974a0a7be48e4a560fda664c,5,,,,contract
0x08d6191bf9548c41d1deb3b00ff70a7539b45841,4,0x033d4bcc2458bc5f6d5dcdbe224961ce5eb63d0843238493a5e3edc111a24ebe11,0x043d4bcc2458bc5f6d5dcdbe224961ce5eb63d0843238493a5e3edc111a24ebe1111482d3ffdf4c233e4125d7464c600ac91c52ad2fc6980fca648830610008503,0x7dcce660731d44b6150c80af09a79fbd62e482df8f0151029c9380e9bda9726d,ok
0x363deba39c26918594aa8c0319293fa50be031af,4,,,,contract
0x6984abf56f07a9b77f9c86505662df02abd18ca9,4,0x038263ff4b97534078d0dff2f7a25f2354ed2c766a35a8385c2443076e040e8804,0x048263ff4b97534078d0dff2f7a25f2354ed2c766a35a8385c2443076e040e8804c5043006503d535ecb94ad5589a4264a7633026698b019ff6165fa50cd24e7d7,0xefeeaad789274fd738a341d9df6a711827e32a0ef61ce4af7ffc77620845773c,ok
