addr,amount,pubkey_compressed,pubkey_uncompressed,tx,pubkey_status
0xf368558b600f44282faf8ef6cfb8c61884b0daea,15,0x02c11dfc186880b1cf1901e52d5e72d1d0e42e34991e7439a0d4d079de8c6ee05f,0x04c11dfc186880b1cf1901e52d5e72d1d0e42e34991e7439a0d4d079de8c6ee05f2eef9700b087aef63d3ab87b648c464f7427a18e06c9548e8919ddd1586612a2,0x6722f5a9ac55b30fb22e3d0c625acb65ec7eb484ddf30999c3bec157d590695c,ok
0xcab8daff918325333c7ddb06fd6fb5d3f1c73a3e,3,,,,never-sent
0x762140ccde6372e9ebf99da144e78331c3936931,3,0x039b6fd977389b77e332e4c8eb187aa25cc1993c583561e307f88ce97780852a4d,0x049b6fd977389b77e332e4c8eb187aa25cc1993c583561e307f88ce97780852a4d4b0fee9988ec70a022db6172f25b537cff3bddda87983efc6dcc2a51d63e4993,0x3e0bd16f8da12505f203d0c79a3b1efffbe1ada77f37bae1ef3473a973536531,ok
0x02d3b4791c23a01a8d576593ef7af4a8e16cbcbe,2,0x03f1d5f9561b3796c7d6a91497c51669d738d252c9bb9851f4f00589d662ba1b93,0x04f1d5f9561b3796c7d6a91497c51669d738d252c9bb9851f4f00589d662ba1b93c95cbec0e6266202163007b6c657dd5abb3b004e3d9cf2cad19e1b8c1c292a93,0x3c2ef1e7266f65b1161c8b860a5e044520002434191047843da922fde9124b52,ok
0x6f8a0f15e36c68aae7a8a7c057d98db3d1e1f521,2,0x022cf9ea9d749afcb7046d0c49e8a95582ae56060c5a36eb0312abe702092c5019,0x042cf9ea9d749afcb7046d0c49e8a95582ae56060c5a36eb0312abe702092c501985f9b0fbafb10fd006a94fca8c828e5406158af250515a3ca1047344229632fc,0x8746bfe5727040115d613397c8e712550e186f0edb81a9c0ea52af4c0475b9e1,ok
0xe5a05e33a5aab53fdbe00c8bbd3e1f5fbabd2c5e,2,,,,never-sent
0xae5d196bff4740c6be6c9a90f8e8228e2b525f6e,2,0x02cefb4480031515126d889ba449ef68ebbfb6863c71dd837356380f47d24dbaa6,0x04cefb4480031515126d889ba449ef68ebbfb6863c71dd837356380f47d24dbaa650d4e373c24957e382250ebc4a2508aff8bb68422c1bd33d81824df1fc89c16a,0x0f8aaeb8e3ab2c70448fa9d79fe4dabf495df4065232ecb9e13fdb8f33b11162,ok
0xb5fb2604e36a6c1ccea895da7620618d28c2c086,2,0x02aab0dd57d81d7769e6c6f98c37ed5a40233cf6e6ff1e426137ca7362090a0db9,0x04aab0dd57d81d7769e6c6f98c37ed5a40233cf6e6ff1e426137ca7362090a0db99fa491ce07e15867dda912ab5a9d9ed2138d904e7d7da1023102a614a9788652,0x7c6371e7c76b294f954e18a4d24c3b72618a088d72cd6d805d7389e5c729e834,ok
0xf1a63fa7f404a992675baf5e436f5bbc2893fb1f,2,0x0385bb99f92bb0d9f9d7b5b15fe8ae49cb8d7e46080665a3d278c9c0a3df6d93ab,0x0485bb99f92bb0d9f9d7b5b15fe8ae49cb8d7e46080665a3d278c9c0a3df6d93ab1a47e476b6c2ad2da23292cb311853e96c6f5befc007616a72131d6bb4826735,0xbae08e9a58906a09a37da5f582e7322b32258d99d1fe3b79d980aee73c631ede,ok
0xad952a8b0645f390fde4559507fd0cdc656f3ff4,2,,,,never-sent
