addr,amount,pubkey_compressed,pubkey_uncompressed,tx,pubkey_status
0x44998245c27a9182d9dd321726d3d493e6a2fff9,52230931.14,0x02ef5287ea9e46e519025648c5eddd3c3f27675cd0e35a1e6d5a62fab7c18e46ed,0x04ef5287ea9e46e519025648c5eddd3c3f27675cd0e35a1e6d5a62fab7c18e46ede7a7fb4742fa09135f54bf69c04d443a9c16d35d5c7a60a63bc96e12084956aa,0x82f3139207630753ea662fdafdef7485c2f4bd29afd581e74ddfa40801fb6c2f,ok
0xd2e6ced96b569ba6685c2e86ca0a98c7ec50289d,30201017.67,0x028a3861a47227bae6d173a9383accc6f5e61e83fe154c1ff78803a9ab1bb49296,0x048a3861a47227bae6d173a9383accc6f5e61e83fe154c1ff78803a9ab1bb49296ace41db9150ead8cf90237f56683b7e757c7a8454264e6759aace61845b8fcca,0xc7a705c6d99898250bc48dc15ccdb610916a8e62ad35116cef13a8b5782049d7,ok
0xfcd67eee80f7abfabdf456ae4ebe8c3e040f4545,25525476.67,0x03421b672c770df9a6d20de9f7d9bef0b5d54e776f365a918cdb5b44fadfa8eb1f,0x04421b672c770df9a6d20de9f7d9bef0b5d54e776f365a918cdb5b44fadfa8eb1fd5c8aec7b541cc8fb4154272804676ee7d9618f0721d15404c6a3207e148a759,0x67c7c180d1dd6c99c21b09d3d70654f83e91c8d79ee8bc904272dc7224929d9e,ok
0x19fab8f7dffff38268644eaebd3d538f68036000,20109025.22,,,,contract
0xb9bc2d7d80c09466e7212d202b3fd3b7b9ab599e,12146295.61,0x02cd05892eb24042da84d016ae00bedbc3f489f1440b5e7a698f3b87fb544cf987,0x04cd05892eb24042da84d016ae00bedbc3f489f1440b5e7a698f3b87fb544cf987a85bdd438aaa9083496e4b6077c14eb0dac657847b4f59e8f53b5afd4f33273e,0x0634686ce66925c0f1f2ef63be5f410c44589319983f0a008bde9fc7761b49ff,ok
0x2a64e64214781930f2fef8ca44da3f8ecdc0ceaf,10750316.07,0x032c79487c5b0a43ae17cc415b9d427c97b121c09edb06d74299ae7f326227cea8,0x042c79487c5b0a43ae17cc415b9d427c97b121c09edb06d74299ae7f326227cea8ea8c538e77ccfd0d647e9d948e215c5a5dddf23128430d7e11d9821c81203355,0x0695cab2bfc0c33e093dbdc6626770cb28fceb380272cdbd22c45e01cd5275e6,ok
0x8d79147d64985566c8d72183612e953f966ef81f,8824600.85,0x03e9d73be0276515ea08681aa12dcd5f443f807e85a8c9d47e2abb997fec2e8551,0x04e9d73be0276515ea08681aa12dcd5f443f807e85a8c9d47e2abb997fec2e8551b04e27f5737e39ca600c1ad2c58676d35ab4cd40ac3ddddff20f5621f9973fcb,0xfd14200b9dd5e59009ec1534c85be755e30eebc60fdfb451fb0366f3ff2c45a8,ok
0x04392a8b863bed204196ab3473796579e8b10388,8166564.52,0x039977dc30d9d3949c451db2854c3e05b0f3c2bf53420bd37162578b796dedd97b,0x049977dc30d9d3949c451db2854c3e05b0f3c2bf53420bd37162578b796dedd97b38da4c10dd738ceee3499c3f008272e93f69326fa53436728392d7d32a8e908f,0x4b658f6773c185d3060a0d0d12ee9b7408cac71048646e03df911c2e221b7618,ok
0x0860f25c8f3be3a98db4adcf9371ef79bdc2e32c,7669428.47,0x03d3ca0ea0111c4aa3577af74475aeb9abfe7d672b27dbeda3bae4c38b4d3f2524,0x04d3ca0ea0111c4aa3577af74475aeb9abfe7d672b27dbeda3bae4c38b4d3f25246379cebafb1c21013416205486059492bad4085541cdbff270e0d3b27ac878e7,0x18d8124a6d10242695c3111e6c7fddbd819a097dc472d0f442b56a92b46336ef,ok
0xc4b920473545fb871da743a0cebb7a4e88ce5727,6641710.85,0x03bce5c71835e09b39610d11f12721fb5b0ed3894d9945515242d3d321c106b0f3,0x04bce5c71835e09b39610d11f12721fb5b0ed3894d9945515242d3d321c106b0f3dab5bec091c0da7a871bc17f16ec8466cf263f1ed548a3b227f382d6a4dbc27d,0x2e2f902f2c129fde098b80f181ce9e48b99e2a25331706284112b530df1c7069,ok
0x1b0bc5d02086051418a566f406f52592f365fbd0,6564871.94,0x03fb4a8c002eee5bf677e0c178cbe03657f4334e86183e56c56cc9452a876a75d9,0x04fb4a8c002eee5bf677e0c178cbe03657f4334e86183e56c56cc9452a876a75d9fcc0f3c225d07852d2abd91c680bfb35edbfc562746dcb5cd78b7d557bb36d21,0x22b07a3cccddcd18258dcadf0650661eee12a49d4f4782036e689259cfd7fe46,ok
0x7ffeaf30e33b5f56a2c89756da8d458074a3228a,4476217.81,0x033d702d920e7b7e7bcae1990a129334d8abd6cff7d00e0e18ec38ee6e3bae09bd,0x043d702d920e7b7e7bcae1990a129334d8abd6cff7d00e0e18ec38ee6e3bae09bdb7c4a7078ae890e2d13dcb9f3647f5d42b45f597d5287b02f010a63f72ec922b,0x80a110460a7d720a89dfb4d500a1c9616f2358abd8852fb41648771c6dac3cf2,ok
0x45852af87d14e20281fa1525aa1f64b83793700f,4370768.47,0x0319de8585a472cc647fba26a4ab5f9fcb6313cbcd9039e5dd6f40696a0b59a900,0x0419de8585a472cc647fba26a4ab5f9fcb6313cbcd9039e5dd6f40696a0b59a9005432635ebf9a9e910fb8bb3f8c8efb6d2f21f49d5f62cc1b3f33cf01caeb35e5,0xdd43355a87d56c9f2f8b24eede13a451df99a6b28d50e14ebafc39e8a4afbfb3,ok
0xf8c8c07e2ee32e00da62f010fad4bfd1c60b7d50,4251787.06,0x023b769fecdd339d69a57bef47b56c4fb54eb7a704251adc8c82f97d0fa75add51,0x043b769fecdd339d69a57bef47b56c4fb54eb7a704251adc8c82f97d0fa75add5197451865edb852751c45f3fba725e51db28289e5d6186d36ad447d389e2363ba,0x370a8ea144d44e3d0c1f0bf9fc31767cd8b377aa10422a61d96544de58fb7045,ok
0x362f4a7e7fdc2d69b7a3dfa8f993ef0f5737dd3b,3870625.52,0x02c63e1c5f926725e7849cfa04a0fd03409cef0c3723502e89b995c655c36b9dc1,0x04c63e1c5f926725e7849cfa04a0fd03409cef0c3723502e89b995c655c36b9dc1b2124abcda105d96c04ceeb11a49ebb6ada78e3512de169d536bfaebcd70a352,0x672304bd7cb0ee29f2f22439e16766274e7e425cdd17714c474f2c5fc90cc159,ok
0xe0459778d774f3c1539ab100e37886ca02346c0f,3239286.22,0x0273a3aec329a5d89d34dac33296944e9490bd06a17c24d70fbb46c3ff3ac8d6f7,0x0473a3aec329a5d89d34dac33296944e9490bd06a17c24d70fbb46c3ff3ac8d6f7fadb41effffdcb33e31cd89f4d93d421cdd467c5d2b3d29d2cc282b97e42028c,0x6e53a712515a35eb0ce75a94ad736b7c72158dea361aff7dc0e4a1b186d50bb7,ok
0x01b684806577d94a1769535f353fb13eb75e6d51,3129960.71,0x0381ae7f699b7c959a0fce65992d6c13a501e2986ce413540d577c08fe8c79db8e,0x0481ae7f699b7c959a0fce65992d6c13a501e2986ce413540d577c08fe8c79db8ef2bc4f2e0356b2b3fc8f7dbbea42afcaaddb50c69c2242c54a1798b456344257,0x7a6317371efd3be1cb606ce09732d22a7a44de36dbbd409e53e62f572eecad7c,ok
0xeffb61a74238c5bdec0f5c2904960c3e2a679ab5,3066786.74,0x03494faf35012a7ffb8b03ca37b23362b36995891931268013b90b4c23f9b5f426,0x04494faf35012a7ffb8b03ca37b23362b36995891931268013b90b4c23f9b5f42666f9948a3b93744d1ace9aa90e867b0bdc5ff3b97845e9e09fcf263a36ba4af3,0x44575893d1ea6e2af2cfbb68ee8ff92438ba3ef5c6833da0506451821a097d91,ok
0x0626f46cc8c57b3577f05025dbc34cab2b759443,2282002.70,0x032471bb415320292e2ff9a25618f068987cd5d941aca3f811ae043f9b2a6af790,0x042471bb415320292e2ff9a25618f068987cd5d941aca3f811ae043f9b2a6af79018d5624f1571b12dcb305f79efd861ce25a8f7eece7b2f5d04a9739f1d9f9c9d,0xe97fc4021a3f366a07eca423488bbe648f7d055506cdbbef821c957e91df9b66,ok
0x5e7ae57b4e0f663d1be7ade6e37f1805dc918c0a,2066556.21,0x038af32cf66a0b9388f932cec5b0063b5614ab1d23d70e5b2201ac30456e6ba84b,0x048af32cf66a0b9388f932cec5b0063b5614ab1d23d70e5b2201ac30456e6ba84b375154964047e4fd306f31ac22a41b9fe539a4ce9b677235166f26b9ac0d8403,0x3f1b96e866b3320b51ae8832a2000c6735b530ec2d3cac041be1f729cf6d5c82,ok
0xafe3e17f15ebc6bad19778edb7f735b66716b4f2,2055661.99,0x02edb6156a1237ed9efcd5635bd6564b29b9a3ba6f59a1e49c33ff3ed2d71a2e99,0x04edb6156a1237ed9efcd5635bd6564b29b9a3ba6f59a1e49c33ff3ed2d71a2e99b52b4c5fdd57c1e97516fd989283e988bb8fedd014dc3f324b27a7eea59de800,0x5d846d09a6c4d379999582042d823e0ff4adff690bd856319e5dfc3ce2d1b9a9,ok
0xa722b2248301579bcc2f4587ee0e98166b643b58,2041820.87,0x02623040f52858a6b8d0755ba0c032904f6a6a14f063c2c1e7070b453de61cce5c,0x04623040f52858a6b8d0755ba0c032904f6a6a14f063c2c1e7070b453de61cce5c1081c9f07f0bcd9417bedb71cfc6b5cf9e6229fbad994f84f3f2ed9792fb6080,0x6723746eb4caf62912492fd303c380b219778d4519af9b11292003d4cc7708c8,ok
