addr,amount,pubkey_compressed,pubkey_uncompressed,tx,pubkey_status
0xda1a941f2256469411f18170794bfc770078171b,300,0x02606f71acbeb362b43e8bcf2524d896c855ae439ed3973769127da21b8d8f995a,0x04606f71acbeb362b43e8bcf2524d896c855ae439ed3973769127da21b8d8f995a2725e984f5d6330f37488187eb8f6cc04c9d89b1ba9bb77546c7a183216ea5da,0x43684cc3bde0c917c43b045771decfe80dd9f79dd94474ff5053d179802cae67,ok
0x2a350fab2a136f53f6738ec8ab8516f9c73e2348,205,0x02307dbec23d2061a47edd377fef78f3f84c3b08866d3a47abf8046db57d905ddd,0x04307dbec23d2061a47edd377fef78f3f84c3b08866d3a47abf8046db57d905ddd0d387c2955a11c8b61b25218b2496aee4428c46a47e23869f3b5dfce201ddbc0,0x41d6fcb7be4ec354b4603d00437bde5dd1a3e6651fe51ad13ff1af33dd057f29,ok
0xc697be0b5b82284391a878b226e2f9afc6b94710,121,0x03afec5cb8824b705682d0877a3c2fd3fb3e4ef1e4a91bca13eec658327ee06cfe,0x04afec5cb8824b705682d0877a3c2fd3fb3e4ef1e4a91bca13eec658327ee06cfe8499a2525d2122fb5700e257d92f49f42f5f408c76a58ca53d7cd11407533b8f,0x578da1eb1e9501ace52766f61894d11e7bb77fb5b311e518e8631ab465c257c7,ok
0xc1563bdf57bdb990c89070aa72cda57fe8d6913d,99,0x03aa9f980161c0918de10afa0787b88fa2ac10cd2122d8f2afe13d179e1182264c,0x04aa9f980161c0918de10afa0787b88fa2ac10cd2122d8f2afe13d179e1182264c444c8004d691cb9348c38ec9679c891d2b059304e04f7f0aa1218989e01bd0cd,0x7f53d204408d4984a637b88bc00da680464608411011ddc498f256d6ffa0bcd9,ok
0xc972bb57b1dc271af27fce3686f3eb9b6a1ed8b7,61,0x03393817aeab3f4459d75db02d6e50821b56657543e0de15d70eceb7020d99f503,0x04393817aeab3f4459d75db02d6e50821b56657543e0de15d70eceb7020d99f503b13ce5958951fd51824219556368223c2afb75d36b33417ce0b16f4cc55e19f9,0x7cf7024ab8e2b669f32c33df0a1c12584067dc578888db936d4bc484c7a0bb73,ok
0x90c685c31953c2b2675f723e7fa74efc83fa8fca,61,0x02602db5ae2db0eb0067e9bb386bacc56a04c08fd8769c0650ca6ab4ac27348a81,0x04602db5ae2db0eb0067e9bb386bacc56a04c08fd8769c0650ca6ab4ac27348a81959ff2f14889858aefab28709617a65535764488e6c37e1ae763f00ef6bea114,0x7299c2fe3af3b319c4d23822e609c14c7e83fd16f386264757b3d057c947bc76,ok
0xb8f9e33fe0a4a21e6e0f70d88d6904fe8137a7fe,60,,,,contract
0xe69d6a4ab26a034c4e7f1038e9dfe40bb423486b,58,0x02049585687b84e8f30d5f78f1bd0ebe3cceda94fafec9553c926ce167d17f8b8f,0x04049585687b84e8f30d5f78f1bd0ebe3cceda94fafec9553c926ce167d17f8b8fca5079ecebd83a727b5e68732afc57306077a2b39b7ec7ddc7c2f94da6b431fa,0x349adb821837199686df315591a198057c2f747451b43b14dd9628c23ea601e5,ok
0xbdda70eab3ed2494b7dc219951aaad7c5b7b06e1,48,0x0260001602447b546d11c3a1ba8f9511d8fa1ba50e5fa766bd5472ce86d5f80528,0x0460001602447b546d11c3a1ba8f9511d8fa1ba50e5fa766bd5472ce86d5f805280c29033370a54c83fee63a0029e189d45025ec92d1050fa3abdc18ba76fcdd28,0x49ae52a207e1f138b6129ffe417f2e303e5dfa3aeda3342994523fd091807b4c,ok
0x1bc9b2b85a8a9ab96c835d1143269df662c87a07,46,0x027a5f5a951feb9f84779f727c0e5234da1df6862e9869de21d1a85d343113e527,0x047a5f5a951feb9f84779f727c0e5234da1df6862e9869de21d1a85d343113e52789ba3404057573205c9c4eb92c6feb488b5c649b8ba655c935e6fb06f7a0ac7e,0xbef5129fd4ee3868ecc3a5eeb428890244d133b6d61a47af2f8d56c359231548,ok
0xa1af8a47b9077105772d3ee4f0192daa33230573,45,0x025ef4a3432270d44a40f0b2f357e9c5711ab0b281b9ab96c1d9e746f40e91b4c4,0x045ef4a3432270d44a40f0b2f357e9c5711ab0b281b9ab96c1d9e746f40e91b4c44677ace8b70ed35e15a05fc9d4c92b2fc37350218883b019acb16b120eacff14,0x90c700b11761da5758eccbac55341546b88613ed2758ee4ba1569d69d487792c,ok
0x0e95bfa75078c63a091177105494c179582bedf6,43,0x02f0efee02502ff3e18d57d8637e92ea1c119f35f26b2ba20ad1861e034868c551,0x04f0efee02502ff3e18d57d8637e92ea1c119f35f26b2ba20ad1861e034868c551f9220410181b77627c55d7ce2f64c2525982da1ba725906c904ba0a9c33732e0,0x6a99fae498a3d0bcb206bb3952b7080d0cd579451873be41e76ec7e196cae36b,ok
0x986204cc94428354885e237d87dc0ff9836dfc89,35,0x036c75acefc06bff860009aba9ea99411d25c7b54bc0835f97e911b3771b028cb2,0x046c75acefc06bff860009aba9ea99411d25c7b54bc0835f97e911b3771b028cb201b1c29050e480a73113de5474c95a265a7e227d54977604694f768ba2edc379,0x7a67388f9c78f8937572b8de8b53073fe4159d08206e117187a2a5ef96164ae6,ok
0x1ef7bcc3976056d3f0238b6f8653287d4d2ea24e,35,,,,contract
0xd9d0120911ba8e617d1f7113ff5847815535c499,34,0x0330076bbe3b7dbd344fb1544653f312910b9c45da43aab2e8d6030be0f33015bc,0x0430076bbe3b7dbd344fb1544653f312910b9c45da43aab2e8d6030be0f33015bcc7ebdf2c67f1d4e48b3d9efa1ab1410bb478085509c0132391238a89a50aa8c9,0x2cfcc1e2101201777ba63d613761eff32698433b31d6db9e2f3d8861b7625bb3,ok
0x867f3c7bac32012252fe6860e4f58adc0af9d638,31,0x03a72c00e68b4bd8c5454afdf21e5e103593181fd6a26111fdef0a21d9cda90dcb,0x04a72c00e68b4bd8c5454afdf21e5e103593181fd6a26111fdef0a21d9cda90dcbff913e7a606a99b0186ea638f1c5f89b3f80859bfa8a3b63c83f9c3583c77587,0x3b5abaab14d36e01de97b2940ce8e8e0b69d6cf8366730d415c2ae0706e90415,ok
