addr,amount,pubkey_compressed,pubkey_uncompressed,tx,pubkey_status
0x74c9bab3669fbc5fe5c5f4475ab600bb7f11c47e,14,0x02a0d82bfc7141c16df45ac038474a756c195b196d00bf5879383e935df5369770,0x04a0d82bfc7141c16df45ac038474a756c195b196d00bf5879383e935df53697706646b6d6e048931b9616de7ed4a4540a67f0c9488a4173c5d945ae7460362a1e,0xf35836182577099f400b96d4d37c6d3b67394f346e9c174e02f5a36040a5f2f8,ok
0x8ad4312b8195323790332a2fd2a832740f147b9d,10,0x024fc3f51e27daf7aa25d37c7747f7cb55e3211d89d1efc6c4cc4d6fc814fd37a0,0x044fc3f51e27daf7aa25d37c7747f7cb55e3211d89d1efc6c4cc4d6fc814fd37a017adab16f42f173af338c7bffffd94da987d1a4bd1573833225c0d4a8e942822,0xa01d09115279d908297d7e004a0851ab9fe9a2c951d0cb732c0a039d8a56b91e,ok
0x6d79ddb41cb26675dae6e934df7528ebe118f322,5,0x02528d44e97fd2fbf1b138305058ab1e05bec062f28a373e997f541349499852ba,0x04528d44e97fd2fbf1b138305058ab1e05bec062f28a373e997f541349499852ba74fef2a7e69f59fe5562aa7e587f58f80e6c14cfd3870aba85bc2ad35db72a44,0x46b2069061fb40c489b41221e75f4924f63af49e6b3840fd9866de8b92216b7b,ok
0xa4122a273dc9371db24619f284c3b3e5ee47f53f,4,0x02e65060a01b7b20c002ed904426b4bacfdc0102c1be29be3d576a9fc332803b79,0x04e65060a01b7b20c002ed904426b4bacfdc0102c1be29be3d576a9fc332803b799ea040782e51371b5e4fb7ca2a9b6883c1c392adcb77f8b3dc86e73a84b5d90a,0xc8d81a8fd2f08f16244e3e3345261a8de94ea458dfe4277e770fbe08b4be2e62,ok
0xb7e36c145f3a0264a128a6d10c8f4f57508b9879,4,0x024e80a6cf60cbefb9db7ea960ba3c5a8e9831f25a0c889fa66140bdb236e9b697,0x044e80a6cf60cbefb9db7ea960ba3c5a8e9831f25a0c889fa66140bdb236e9b697e6b5724a084c9e695e3f1f430a70a186b6577b74b4915df9a3904e57d2b23eb8,0x8f8c34110d8cd1b1bfd8e6335b745fb82060675061540a8d27c2cd20de926b7c,ok
0x0d2225def3194caf7b1dcb1e50675a9d70e98f88,3,0x02681f763acf75b0d1a42e0333805a525fbb5ed71ee98aba95cdb1b69d0beec4e7,0x04681f763acf75b0d1a42e0333805a525fbb5ed71ee98aba95cdb1b69d0beec4e71482d16ac29780cc3d58156fe84ea780917be4707ca566f0bed02a3c30d42f0e,0xd844dc53081dec3a6773d0ea3eea75a85ef069cb0b9fc0e60eb67ac8f5fc8a8d,ok
0x892752a9348b36783e5d4fdac5700288f8161eb2,3,0x024ed187eacd4643202b8802c225064b32f3a4be5586c71ab8f9af4829e6b70597,0x044ed187eacd4643202b8802c225064b32f3a4be5586c71ab8f9af4829e6b70597fd9a5f79853cb69b1a7cd634f7cdf85ca62eb1318ac1734a9a8b812d76bfaeea,0x5ae5fd2b5c4150e19e15f2a1ffb7343e7186e33a6acb211cbe316ceceaca7aca,ok
0xb7ba4d4151b90f37275ea48031f40df6083b7c42,3,0x03af55dc65e444e9b6e580a2ccb779a913d89ab382f9f9d34ccabd8651df8bdaef,0x04af55dc65e444e9b6e580a2ccb779a913d89ab382f9f9d34ccabd8651df8bdaef08bdccfa1202cd7a12f9ac91377e03b9275acdee3d014e4380d97a79fb0e4a1f,0x47594cd6023a478dff22f944e89f5e64f21e3af310e04ae85e1ddb9b227bb3a3,ok
0xf8d946c1db7e3552b0fab941844e179130b6f6b5,3,0x03972cd63c232d3dcdc957121faf1fb657e793a0334e783d886ac93cfa129813d5,0x04972cd63c232d3dcdc957121faf1fb657e793a0334e783d886ac93cfa129813d54f6a6dd6fae0a8e1c60f1d27f9fdbf58bcc1d1fe780037d1b0acb5ff12ffd113,0xd2ca68bfd1134053104943d0a1bdceb66b2ff0f1ca00d11d8e7a1e02007f2b03,ok
0x5743e93ab23a457150724ca18d9a0e35b17cc8fc,2,0x025bc4d6d52428b8218457a0286e7e250e4030c131f74534233e0ccb7fcdc1b88f,0x045bc4d6d52428b8218457a0286e7e250e4030c131f74534233e0ccb7fcdc1b88fa2d43760b69926f4a2e527f51e3de62fd6be4888c5940855793ac14e9d607b3a,0xb1d9e457cf81d34c1b4e8ada615c27aaa687956e47c04cb074a8b9d99e5bde89,ok
