addr,amount,pubkey_compressed,pubkey_uncompressed,tx,pubkey_status
0xb45e2f1b1854e68716a198922dce63b8566d2128,66,0x0293f4b8956c13b0dd9395ee266135ccd67e1ae4f2d8b7573abaa4ef7736728f5f,0x0493f4b8956c13b0dd9395ee266135ccd67e1ae4f2d8b7573abaa4ef7736728f5f9ebce6f6ec32aa188faa6cb9b83888e8fad90c92b8fe47513ac61275b815135a,0x0260885258542900230fb2a585a3febed4dbd5722570bb53efe071bb13aa3392,ok
0x99f4242e7f95ffc83151d86cfe7db78630bde49e,53,0x03852617004083bdd57370a9c137b7f29580c08c71f9211982e9f186f690247c2a,0x04852617004083bdd57370a9c137b7f29580c08c71f9211982e9f186f690247c2ad6dc8ae8750ae50fe5cf7e280460060e3236126177911ac892e5a020c38ee315,0xdd7945fc5db55f66dfcb1b5064bf542ecac0d23c6bed1dfba6a58d671d4975c4,ok
0x058d55e9bdbdc42637f9fac4f4f86d7002d5cd4c,52,0x023a67f009a596cf73574fb11111a5869092d2b65c0b7087f511ec4bf6e659b1c9,0x043a67f009a596cf73574fb11111a5869092d2b65c0b7087f511ec4bf6e659b1c9fd9fd56407c7e2115810d4dc45f09c3c739fcd53de4418fdd7580075c04232ac,0x18140afa92d2e115244df155c4552b3e4b98809480d2a1261de371fe28fea4cd,ok
0xe0268949232a2fb9099f31faca947c12ffb54f89,48,0x02acdce16ddb2e9bf258e644219a51fcb7cba1e45dfd96a98f256b5800759ca839,0x04acdce16ddb2e9bf258e644219a51fcb7cba1e45dfd96a98f256b5800759ca839bd3f8ee1fcbde5532e2b4bee43f3a33998f621163befc4453ede9feb691b4fc4,0x6d8590a6c7d5dac63458596e2324df543c4eef89695154aae050712352739246,ok
0x4562fb470f02198315e77cdeae0a8c6c0434a57d,44,0x03d8a6f93c585792353a3280bc20620d8bd48a799807f9570f02c6c290e8e25942,0x04d8a6f93c585792353a3280bc20620d8bd48a799807f9570f02c6c290e8e259428691fb184591f0ff7962655b9999042470432d015c3a47c81f99940993978fc3,0x041184bb342c0235ce84b9aad4a3f3fd60d03a934506c8f31f88c45c3c06aa06,ok
0xf7ee6c2f811b52c72efd167a1bb3f4adaa1e0f89,36,0x02abb2f00e7d76934a1eef934d60002f45965147c825444c998f2e1eb410347438,0x04abb2f00e7d76934a1eef934d60002f45965147c825444c998f2e1eb41034743829c7efb60644d70aaf9576d8c347878a6d1052702b22e33132b8bf5faef9568a,0xa7d5d4edfa442d60a2b76e0d561c803e022de809a1f76cdf72da9ce4a978bd00,ok
0xdfa46ca527c502f6ec459d6fc98de2017bbe4511,34,0x023751ea1f63ff5445c8b8bde0adbf3d56dc5d23bce9831dca3daaed459f31e6e7,0x043751ea1f63ff5445c8b8bde0adbf3d56dc5d23bce9831dca3daaed459f31e6e7853cf51b2f63fe13f675a2c52730016eaac756832ee60328c6273f6fdbfa95a8,0x8b26e0297c7eca87ea358dc16dfaf3861e9a9303fc39ea556754598c25c77ede,ok
0x46a1f4c003a1cafacfe63c60f21ab874a9e13705,33,0x02e5b06a5ec8ce3644c29c8fc9afca00b4c7a9d2f74f1c3164cdd3867684a81a9e,0x04e5b06a5ec8ce3644c29c8fc9afca00b4c7a9d2f74f1c3164cdd3867684a81a9e3597d02483b40f5105c8351e043f40e73027758f8a745c55b3a33d3896965482,0xbb50baa3396ff081fcbf27e681b40476e8eb0c869e16785c25cd5e0a3a9eb5e1,ok
0x6a160fb296cec7f849e37817839f4a229d83a21d,27,0x020f26e12d1f60afbdba1d2e88c9d0abe0429a1ba5191dc36644021bdd54782ce7,0x040f26e12d1f60afbdba1d2e88c9d0abe0429a1ba5191dc36644021bdd54782ce70ae87cb6a1c09f6e3668fdb1b99c947b296f1b1af230e7b37b85537048a179ac,0x46bd6d298f67935c21a05ad459db03858bd4c077d4f3fa82a80acc1ad2400235,ok
0x52e72e4e210a2a5999e2fc3d14c134b8a1d55fe8,27,0x03a3be72c5693b8468b8813c48640d9b0025a5e8303794d1fab11d0cabb4659d91,0x04a3be72c5693b8468b8813c48640d9b0025a5e8303794d1fab11d0cabb4659d916ff9e0534b3ee3fe21ae31dabe46767fb87ad1bafbdc6d92b9652ebfca7b2bc7,0x812de25431bad6571e5fb70e8cd30fbefff95edf5fc7387eae1c8ceb6ea74202,ok
0x5bc4134ab3e945da2d853663e8963b4a0cb38535,23,0x03218018031c7a44ea5235bea103bbe008e665da630de852d5cb63128c9510202e,0x04218018031c7a44ea5235bea103bbe008e665da630de852d5cb63128c9510202e7a8796037ce9e75ec81e95c936bd814cf2a67d14b531a9f3b224b695d49117bb,0x1aa2f6ec2f5d1334751f176acff4a8d63cf896040758f9d3972344db7b6f94ca,ok
0x0ea142441af0e36e3402f737a356133843035f36,23,0x0324f55dc1f1aeaa7a5309d2cbe56538433e8c3ed3ceca779d2cb968f93b5a97b4,0x0424f55dc1f1aeaa7a5309d2cbe56538433e8c3ed3ceca779d2cb968f93b5a97b4688db42e44a87f328cd750f26f4dd6d30a54b88dd3ac86cda7c44ac07874b5cf,0x84affcf4e958f1d287412cc5633263b2f31f1e3795e2181f387c00653a90ee4f,ok
0x4673174468a9438c8c3ce45b99558790f68d002d,23,0x022ada2de1bfd7bb9106b3244b792b9323d94c2754e1f6a26c0d05d8f4e46ad0bb,0x042ada2de1bfd7bb9106b3244b792b9323d94c2754e1f6a26c0d05d8f4e46ad0bbf1e930a2c5aac3992abba15b5f0b595b45fb0ac7473e8746805349b0d9a68ed2,0xc4c16409f971a32029c5655a61bc9018478752a3c29a5c9d3b3d4490afd8e524,ok
0x7f8df7a5d72e88ea27798ff604959d235aab5090,22,0x02c942bdb492f1659b57d6e50aba2d3a048ebe89f4c4eb7ee5d089d085b0ab0edd,0x04c942bdb492f1659b57d6e50aba2d3a048ebe89f4c4eb7ee5d089d085b0ab0eddd92ce7756f5d1b58b54d9cb2b7b731bdc9f7bb402fd3064980feafa19b191ad8,0x2345458e4638099c28f673367d12f3253409f2b2ea7929dfbda1ab1b3bc94fea,ok
0xfc2918ee0d5c7b3b7ef51b576a853e1d832d4bbf,21,0x03e0aaf408f30c5a8fd5e642da3bb7b4cf0960d3627a5bcd6ab28827d577523877,0x04e0aaf408f30c5a8fd5e642da3bb7b4cf0960d3627a5bcd6ab28827d577523877a644073eda3b73dee7c079bfc07a6ae9ccb31bfc06e866de4e3a917c396de7b5,0x4c4aac535a5a35b982a13ba6fe53fd4803ace7b3c2688d09bb58e9e900e326a4,ok
0xdfdec88a797b8855b40dfe21d2f31e0140e6a1f9,20,0x035ab5c0e0c2316916a97e88c84b5fd4a864948b1b9dc6e01c131a42784d87145b,0x045ab5c0e0c2316916a97e88c84b5fd4a864948b1b9dc6e01c131a42784d87145b6816601ccd69047acf9794d0001b8e74b585ac1570158b7cd5ae17defc3f5075,0xa884c2a44af309269407885a67d30ffb817e8e9dc1c263549f065d41d07f379e,ok
0x783c72467a2aab6c083b89c5b8b1edcf939d1321,19,0x03ed1d986c2454a646a14e69ce77793ff4266131fc85bb98ddbf1c1c54fb42f019,0x04ed1d986c2454a646a14e69ce77793ff4266131fc85bb98ddbf1c1c54fb42f0197b21446a17461cb0cae3553c96fa758af3603a1169ed5f42721fa50432d35fc7,0x7652c318d854e680f3b50c24ad3ced1415b662542a6adfe4ea7675d578915ba7,ok
