addr,amount,pubkey_compressed,pubkey_uncompressed,tx,pubkey_status
0xd2b775f4368170bca47dc285e56e199d74acbf23,10,0x024c837cec039fff36343e00d48d5b0107bb4acb6177267453ce4d0ed8f57eba9e,0x044c837cec039fff36343e00d48d5b0107bb4acb6177267453ce4d0ed8f57eba9ec97d24775680a40be7100bd8e78892fc6aa41543da9befc3381d23feb941633e,0xe0c85dc6b906367dfe45b9875018c130bdaa6d0c1ff815e7c522d5ea1e6195e5,ok
0x9d7d2a1a77350d05d6d8b8e6f38f5cba2db2baa0,5,0x03dc1bec4b0a085fb50eb34a70c66642492264ef05f015e413af7d649e1da513f9,0x04dc1bec4b0a085fb50eb34a70c66642492264ef05f015e413af7d649e1da513f94053283e683d588bcf44d2b39f721cd6458161f78fcd39604f8a7f2701d67f77,0xf351fd2c45d9aca0af055a11dcd174324c6241e89a8baf5acd99cae21bff6591,ok
0x5d3eac418bf8221c456c47a179a003e6d7c35064,3,0x03c791a0ace09e20c4e9c8af7703500d56755e5752bbd35a2666a0d22c0ccb24a3,0x04c791a0ace09e20c4e9c8af7703500d56755e5752bbd35a2666a0d22c0ccb24a3e3460afc22d484f69ea62194ee65bafbd58b395dde7665c9eada9f7bb1ca1de3,0x11cc112c0800e8c8c1461b2c0e1c6c989bf0204417e356b5b8d926ad99e2537c,ok
0x0d1edfb5b0abdf9689077af2cd9780056a14cc54,2,0x0362b7ba7b7d6a5351c270623e060a1df3ecc2633d362facc1ffe8905c7b3c6704,0x0462b7ba7b7d6a5351c270623e060a1df3ecc2633d362facc1ffe8905c7b3c670463fef09d57859b17559723c7a1e2d8c8f6d335943f6bfae35843009b976a8f1d,0x9ae7b2509d62bb12e333ca0f7b3482497110f6392a3ff64ba80ef594b23aee61,ok
0x4795f922cd3cb66019fe5a2007bd752e823536ca,2,0x03bba617b44eff160fa4b7248d7fcab14f35b60468b4db8b4d555e19b7e7014993,0x04bba617b44eff160fa4b7248d7fcab14f35b60468b4db8b4d555e19b7e70149933544125ed1738472f3f02172a1240e2102340d1f8782e70ce0d0f35b40c976eb,0xbcebd775cf5c90a2ef6ee5baa7103f5e2515d3a94d1260056eca175d82a3fa43,ok
0x5c3ea7fdf251ad0774e9d39d462c49a01aad9cec,2,0x02b8a4899a79067e275c6f73c04a4771a3eecff2279b7a13e4dfdc715152ca931f,0x04b8a4899a79067e275c6f73c04a4771a3eecff2279b7a13e4dfdc715152ca931f91c123f0d40880d1eedcac6fc0dbff186dde0dfcf5d759125022c96d26ad2440,0x517fad5298dd4c9bdf60f3637856f1dc8e2ee53a1da0fe11111d112cd7ede7a4,ok
0x98f1b94c3974f6bea3c41758a8df9f2d54de3ac5,2,0x025f690a89df1e0d388055421fa704dd5fe95bdd68742d1b504ecfb98a434c1421,0x045f690a89df1e0d388055421fa704dd5fe95bdd68742d1b504ecfb98a434c1421df5e6d21801a34fdd1254883ed655920b47a7cdfd43ee64095f142bfe8b4cb82,0x90aa2e0bf1909a250b33e70c88779609770849859441ec709504b559688ec0ac,ok
0xcc7354bb042b82fab47411117bfc2bc54ce05761,2,0x03457bbea69f575ccf49d1bbcf35cd5fdd5d5c9f697f245fbda48240a32f6a85dc,0x04457bbea69f575ccf49d1bbcf35cd5fdd5d5c9f697f245fbda48240a32f6a85dcb8b6c49b53a2ee2e91f03ec87035ae1d8b889729acc6b066ab4d9016b4e8fc61,0x5e7c11c6af1b66960e7328c38750c7fdfd6d765538729a9542c737d9fc004d65,ok
0xf15deff9f34ae294293bbb90bdbc3f417bf2bd76,2,0x02b67b6b656ddfc4ee044e2ca2ebefbea58b215c6c76e5113d855a8d139e83e3bc,0x04b67b6b656ddfc4ee044e2ca2ebefbea58b215c6c76e5113d855a8d139e83e3bc0f0afcfb8c65be7d6dd84fdd8b359eed83159be7260bb2e8132f587e9ebbfc54,0x393a6438b37373edd27e06324e0b5f96aea5e2d130dd504ddefb5b7543876ab8,ok
0xf9c10dc0acac201388c96374e3386f568962d0e8,2,0x02478383d3fcc09a2c4001dbeb75b0d90bc90f460c452db758e08ee390737f7a6e,0x04478383d3fcc09a2c4001dbeb75b0d90bc90f460c452db758e08ee390737f7a6ea7e08e68193f4fd365776096f3836db19aadb0987f79423687ae62a2ba8f719e,0x3cccf9afe1c968af78971b301c173ec48e8fc8a1498206a7eccfab34b80be1d5,ok
0x019e7e5c82d097aa51becdc85ff3d22455722154,1,0x025a5c8cd4860009c074cb89b56ec259d1ac4445def75b8b0512752794e4ab54dc,0x045a5c8cd4860009c074cb89b56ec259d1ac4445def75b8b0512752794e4ab54dca306d0e74b070310524e9383e12dacb81b9878d438ce265997816b9c7852ac50,0x54e9a294e387fda132303c165a0a22419456ed79c3c110a7699dbc3e702de547,ok
0x050d11f95256800d272cdc8d25e80390b4a39252,1,0x02a2c64ccb6912be859ddd7150c4c823f076f689466ee05a490550d7fb5595e9a3,0x04a2c64ccb6912be859ddd7150c4c823f076f689466ee05a490550d7fb5595e9a30775577cdbcb2f074e4f706365d56b044c7066d9154cc73af3d7ad3ba8e1c17c,0xf63bb1b126bd099957ff93b3bfe9e19011709b4dfe2dc5069d379cd2eb2a93d4,ok
0x1c438a8048d44d1aa7207772d1a5eac6ff924e3d,1,0x0287915c290471dbad0bcb85294722b8b069707123fd1009566fbac8a385e4c95a,0x0487915c290471dbad0bcb85294722b8b069707123fd1009566fbac8a385e4c95a7e7afb72fe8ec57072d6daa7cceb226e019777516b137f5dd2c522e4066f91c6,0xf7144f4fb3451b5bb31513ee56b54206cf0f26a9a89bdd0f9d5e571e7e307926,ok
