addr,amount,pubkey_compressed,pubkey_uncompressed,tx,pubkey_status
0xc8cfac3f1e083d0ffa978ee82b7a5c4bec7b51a7,289,0x02beeb23e5327076c0fe069e8ad32b8efb327299c6cd1a09e40cb9c3d8c1469d29,0x04beeb23e5327076c0fe069e8ad32b8efb327299c6cd1a09e40cb9c3d8c1469d2964871ab308ef0fd413fec1be6d51975ad10da8ad959ee746e56e1a69e09542e2,0xf801b10fd9c640322335d2b14457febd17b06da4c1bfd69b5b4e0d81ee18d0a4,ok
0x0008d343091ef8bd3efa730f6aae5a26a285c7a2,178,,,,contract
0xcaa1299f86744874f8c6f66f81f096cdea044718,95,0x03343aa2d0af140aad69f20d1f2c4555c6da596cad82c6e43836a23782e5675402,0x04343aa2d0af140aad69f20d1f2c4555c6da596cad82c6e43836a23782e567540246bdd5c48d594d1a755900c20385b3feb3401cf78505114aec617ee9eaa27d05,0xc0e4578a5950cbe07ed2e62322ffa98caae7ac9dc05e658dae424d3671ccc2d8,ok
0x760d06eb52855dda4f27ed66e6adbe89c1dbd1f5,88,0x0206955720decfa21a694f4726319e8c14f713f111e96b1dc3b574385a176f3834,0x0406955720decfa21a694f4726319e8c14f713f111e96b1dc3b574385a176f3834c8da6b39359c7539d873d33967503137148be5e6403f39716e41cd29808862f8,0xe3a95091e2bc63f5cbc4ce264cb58c5c0b4277a8c22584d17c4e4e7adfae3cb6,ok
0x771face11a14fb5c8ddb131cb1851f9531e37e2f,75,0x0284df92bf29bbdd2fe41f8ad24997ed36390a71a372613977de8e078c4d5e327b,0x0484df92bf29bbdd2fe41f8ad24997ed36390a71a372613977de8e078c4d5e327b4ce717e3cf1d4c7e74db5ca067d1a81994f25acec3014cfb3db872a33d8d55a2,0x4d4ad9691a00b1babbabc6a8837752f536d9a5d776485305dc6ec39852273d8c,ok
0xb1cacc3bbddc12d6911b6424613ac845e577dcf0,67,0x0344ea1c1d3c9901f19d1fe73e7480534129f3c1d6dc1aab965570ebe67093bf56,0x0444ea1c1d3c9901f19d1fe73e7480534129f3c1d6dc1aab965570ebe67093bf56c363866ee6b4a3dc1fc07b373664705b117c571ae6acedf88635842fb0a98f27,0xf72fcba299e9e55c14df5287e915b166f416c1a02d40fa28df1e5de402a641ba,ok
0x2ecfb2f430cacb4b8361e8f5a08e6c76e42410be,66,0x031408b61e30241e0df7bcf97613ce738e64c6484715b8b54f07d2f7a5ca3cae86,0x041408b61e30241e0df7bcf97613ce738e64c6484715b8b54f07d2f7a5ca3cae86679f3384c875029afee284ccf7854d3e6604ac7e768f3e3342b29950b41a7683,0xdbcaa821ddf50dc84d70f0998428d2e8ba16e872749c0419c3ffe3c0f25e12e7,ok
0x0fa67ac110e442bac595c931e63bf0dcb3242c6c,61,0x021dcb1a445fb09feccc8e3ae51682161f39059f50bc487a1330f209dbb34ecc3d,0x041dcb1a445fb09feccc8e3ae51682161f39059f50bc487a1330f209dbb34ecc3dec64d4a5977f43e8ffbaf1f41159bc4b9702d523d23924c9e49ce369e8889f18,0x9a3dc31b167fc69f327481a601d035d23bc2e917420ae2914126c19f8a95dae8,ok
0xd6d6d3ead9c5165a57b7b335300ef392395d44c2,60,0x0249ef60018ffc03d36706dbcc7c1040950b07f557ca29abcdc917c667b24b7f50,0x0449ef60018ffc03d36706dbcc7c1040950b07f557ca29abcdc917c667b24b7f503d623dc363121181d4307f35881ef13b7b5a2b0ae1d50284931cca001d607626,0xf46f1a03279a05091677a43b6ca83a9aa4a433ba9f3d9b1786357f06788a0544,ok
0x3febb7a93aa9865c7bc1ae14dcc94ff0a7132d46,60,0x02d54299020dd26c17243f5f2a3d9adda7b10f1a593a46cb8dc4311e49e62a3883,0x04d54299020dd26c17243f5f2a3d9adda7b10f1a593a46cb8dc4311e49e62a3883d3b59ca2798fe4b32851c87e1784c8f3c2d06fe9ff1b4a3bb517ebd379daf46c,0x9231ce5ebb1143e7c18662147dd7d0c6793a9b20d59dba22dcaadbfbf54c4946,ok
