addr,amount,pubkey_compressed,pubkey_uncompressed,tx,pubkey_status
0x3996e27915fcb280e5aa5f121dea6a2f655284ba,89,0x032a1814693ffb3f5a8726c51445cf6bb3a7e8ffc3a712d225fde8b4faa0739aee,0x042a1814693ffb3f5a8726c51445cf6bb3a7e8ffc3a712d225fde8b4faa0739aeea0c21d058b526b8b9b97afd354940c3cbbd84a69afcfec25a17842825ecbb291,0x431a66161b24a82e84c9b75efb8cc5290976eb9fecdcc56b54654f6be53bc7b5,ok
0xfdacd424cb86466d1bc174ea61de9112869688ad,8,0x030c6c2868156b494e315e09b73d5405788bc5fd591a58d52c09b39324d612ed42,0x040c6c2868156b494e315e09b73d5405788bc5fd591a58d52c09b39324d612ed42bcb38f75f405d425da63eb6cb12dcf00421d35f77323dd4fcde235c422707bc1,0x3be4b7b2b696b3038a39aa17b811216ca6ac4a59bc263620b46596c4b8f9d491,ok
0xb5e943f33f50646ae2d2fcecd95dbd281ae97f08,6,0x036b1592307ac59ad54a3a340f5540bb2006583883163328e3c567be2d54bf833d,0x046b1592307ac59ad54a3a340f5540bb2006583883163328e3c567be2d54bf833dd1abc21e9cde31150bd8e7099456ac1393b49a92e2c3b89af664159fcbe6df0b,0x05d0afef2949d5f69d3d76678c4b3055f9fb2f4de4a684430137f938e2153db5,ok
0x695e63e22170f10bc46a29722b724d60ae4c0b76,6,,,,contract
0xd07afbb70cacafd83e1cdb4a8dd13ea8a052845a,3,0x03a592be42c1719a930f11b7fea73b6e012dbc8e029562e08c25b56bf134d95a19,0x04a592be42c1719a930f11b7fea73b6e012dbc8e029562e08c25b56bf134d95a19c972f32ef296546f2de0a1c535fc16930c3fc55e9602eb7645667750579f9737,0x7a13c04cbdc6a2eeb378ab793cfc2fd47b5e2c5b5de67e45bed6efe3577b8630,ok
0xc44d1e43be1d2c049eb6a0039d97811d0271c9da,3,0x0353d335c61ded1fb00764a7356c9866228745f9eb54637b19fc7f38ff75993e77,0x0453d335c61ded1fb00764a7356c9866228745f9eb54637b19fc7f38ff75993e7778eb53592002196e580f931e79f710754f3898ce208cd879f8c8557d6a9af243,0x6e33bcfacdbe817743e2fa7d9e8f89254d72b343d691ead56fe534e07150ca5a,ok
0xbab0dca296434a3714f90e011e11f754fb9a3acb,2,0x03db3fcd15e979039294651f28f8b0eea69de35d4e131aa7b3a79979ca129afd40,0x04db3fcd15e979039294651f28f8b0eea69de35d4e131aa7b3a79979ca129afd406eeaac55812be53e1e58c5f22f533a5dc5a22231dc882361ab8b041a0c27dbff,0xf7f9cfb8d7e3d6e9b89145af52f23a6df56f20587689e340b93dbebbde0d8e02,ok
0x7362d5a8d2c5dfa69356e0f4a4a716800fbc0d03,2,0x02a2bc19738e8341bf72d539b3208449f70a1cc6888e2052199a3d54f2a80bd215,0x04a2bc19738e8341bf72d539b3208449f70a1cc6888e2052199a3d54f2a80bd2156804905d5ced1f588ab4b4f30ccae2cba50bc7d1cbf2f677a712c4ed7e295680,0xf4148750988ad20c9a9395d9c11e884ea3647ef501dd4ac96854bfe74d751025,ok
0x254768d47cf8958a68242ce5aa1adb401e1fef2b,2,0x023ca867bef882850733fefe4a0be0b98ef4b303984429c872345c0b936d5ae0c1,0x043ca867bef882850733fefe4a0be0b98ef4b303984429c872345c0b936d5ae0c174888613d88b1298f5149c7d638e0db119868e2d338e11cacce52448720d16b6,0x503736bf26d5190da5b2456739763bd05cdbb7f2b3291c5ccc04baf41d56a89c,ok
0xeb6307f7241524a89b192c19a3cc7e1389fba3cf,2,0x03bc841bd115d6172bcf120d907dd633b1334244441018b193d2065ed55abc3397,0x04bc841bd115d6172bcf120d907dd633b1334244441018b193d2065ed55abc339728e01ccd8d74afa473b4170d7360dbe1b61ae6cb2ffb4618111752356508013d,0xf22d5c3e6c7580201566b26126c39c8478d8a96e3dd8f2074f913df9a0f05d1a,ok
0xea3186ed75b480e7a19270ff07bed28a0f5285d1,1,,,,never-sent
0xef63c67795599a0d1ecec391640c36a5cd481535,1,,,,never-sent
0x5dd49fdec66b970a00ef072456205357556aaa38,1,,,,never-sent
0xbc8fd1167b90dc83aa03b04da0e3a8686e23c1af,1,0x030236b8e6a94998bb38f8608c4ee8149f5b15dfea70d803f609e17f2ef1af3f56,0x040236b8e6a94998bb38f8608c4ee8149f5b15dfea70d803f609e17f2ef1af3f5679d8613d55eac918da5da22dd5c1a858981135060000cff5fe5b7c553722bee9,0xf0eb88238032f95bc6af5309a2a7dd9e48158fed4d9bfaa8438b823b2c99eb33,ok
0x50ea1b859d338ada9722c2450b552c01f1662674,1,,,,never-sent
0xba4551d8c44cea1f5918adfd25a9d14b0f159da7,1,0x02da410dfbfc08d58fc7946d84e5b7eae2d907b5adfdb68bfd52e863c1047b5f4a,0x04da410dfbfc08d58fc7946d84e5b7eae2d907b5adfdb68bfd52e863c1047b5f4ad5063c537ec184fcbce8721fed92d21a1738581c1bb0aa5046a387855c3ca958,0x4ced44bdcff4aedce942e0daef44506e4cfcb7d9d7c34bf65c45344576f89ec4,ok
0xd7fe8bb610ddb1d5193bdfb8148e39a3781ab3b4,1,,,,never-sent
0x026203473d49ce2834922d04976a5300d3059126,1,,,,never-sent
0x93181b723a84bc7114dc84cee3065ff10f7fba51,1,0x034e2aca939384d11145c0b085703a56de0ac5f9f7eae4eacba0652a638cb13805,0x044e2aca939384d11145c0b085703a56de0ac5f9f7eae4eacba0652a638cb13805a076e1ed134aa06b5c3da2e7bb3989039cf414a60442a7310ab69c593dc11323,0x41081feb32b00227a2f83e2c5eec703cda05db1887656a0224b368268fbf9ada,ok
