addr,amount,pubkey_compressed,pubkey_uncompressed,tx,pubkey_status
0x4660b501ff52fe814adf0164c327d8e1bb67507c,15,0x0214c64b07829a8ef7642727818fcf9bbe889524d2da2e35ec3dc143ac3baba595,0x0414c64b07829a8ef7642727818fcf9bbe889524d2da2e35ec3dc143ac3baba595c44b87f185e0d619a340355cb607c143dd4c147d56064c6bfc5410be8e1977d2,0xf4a08a9b6c9a78ba22853937cba23d8f3cfc3c3976ba62a5c1be2dfbadce5958,ok
0x0aefc520df2448c276204222f7417b4f786eaa5d,7,0x02619efacf8db242ae7d11135a79ff07948a3dc02d4628909e38bd379fce387958,0x04619efacf8db242ae7d11135a79ff07948a3dc02d4628909e38bd379fce387958236c545985e1ee3ae2901ddc3ce436e44361fff02954c029d68d6d42034f27c6,0x4484d9839447363345756e847d6021a368983b189aa345cde1793cc1f1ee3756,ok
0xa045b859c6ceeb4a4061c6955945547d26666032,4,0x0222ccde6ea679029a0b3f55ba22ad76a94da2f230949a29cba0db67ab2533ff1f,0x0422ccde6ea679029a0b3f55ba22ad76a94da2f230949a29cba0db67ab2533ff1f6e924a22c60bef093498f92262a88765448d63ce880713ea22f9e24080524eae,0xd881816fdbd4907df04e25836db1b8e30acecc9d0a27a9d4c4d90f54412b1d47,ok
0xf212f310dee8ef7e8f66438493d11973826ef022,3,0x03d7b523e8be55b41954ad6d60dfaa105de4cc437a444a45e654539c5700fbdb12,0x04d7b523e8be55b41954ad6d60dfaa105de4cc437a444a45e654539c5700fbdb1287ef78a8a50bfa19c66e0cdb9358daebc1260e1b6826418a3eec44f43c86f60d,0x7cf83950b01de1249a528add37370142801f529a4ebbed2b183e00d31ac4de62,ok
0xd3d1316b6740b5b06b01f9471715e601bbd75f04,3,0x03554accb70d87271fc1ddaed6920ff3c2c65d9613b818a1f77106818f0751195a,0x04554accb70d87271fc1ddaed6920ff3c2c65d9613b818a1f77106818f0751195a6f9270685a54d561f98f3a30f703a974e9be580d4da224f669284d80169f0c1b,0xceee09db20bca69e71a9e830eb40a7072337406ab9bd2f582959843db1329576,ok
0xf12a5e8ba083bf5621ddb1f8287fa3d52d079ac6,3,0x02d4f28d69eec1a4448ca8785f7fad3c9a7dfd8402784098e8b7bc1597465c6a46,0x04d4f28d69eec1a4448ca8785f7fad3c9a7dfd8402784098e8b7bc1597465c6a46256a9549477458bb3ca80e0202b8cd4bb9532c36e1f5998a941c43da1a15d488,0xb28ee653da759fb6c6a45fabb7a0908cd82a1f04b5c4635fd9d56eca142e0e0d,ok
0x3344b512c48df2fe988c44961d6279587caabdc7,2,,,,never-sent
0x6d10ab9b038122124de213a2ba8c9e6234ff3d4c,2,0x03cdafb3dcd638d6bc3d83ec4bc12ea47d26232463d0bc4459b6d508332ddeacb8,0x04cdafb3dcd638d6bc3d83ec4bc12ea47d26232463d0bc4459b6d508332ddeacb8170d44db1ca77c466d089c2d459dac06dc810436f5fe34bf4db7d300a63ddf3b,0x1de036a1e11e4b64c2d38930ca06dc3f7045c4645e77514c9605b60ff8ca02aa,ok
0x34aa4853c3635421bc99068d0e68ad9a201ef029,2,0x03a3d681808e96ef87198476b0d38b3904a28095418adfe960f3008e5a4db9d047,0x04a3d681808e96ef87198476b0d38b3904a28095418adfe960f3008e5a4db9d04773501a9c0b0614839419436f28d66d942de557ad479cf143243cc251f93681db,0x9d2b0fd75419b2c7c5e8d95d0b2162f9edc6cb62099723092db96ac7ce01b372,ok
0xc926dc26dac55873b4a3b9b88357727875f1527f,2,0x0236bb700e1662e2474e5a9b3451e4b4dbafe1a308ca0cc51e1e1307c68b41108f,0x0436bb700e1662e2474e5a9b3451e4b4dbafe1a308ca0cc51e1e1307c68b41108f66094a0ff2a4fe7870a8288d85f61e4feb120f9fc5f9603ebcd55744cfdf64f0,0x1744addeb7e871fcde9c292cfb7d393dd5d8e3cb8815fcae6b52822310953ec5,ok
